track_id,track_name_x,popularity,track_uri,artist_name,artist_popularity,artist_genres,album,track_name_y,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,87,spotify:track:0I3q5fE6wg7LIfHGngUTnV,Outkast,79,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop']",Stankonia,Ms. Jackson,0.843,0.806,94.948,-5.946,0.613,0.269,0.0,0.0771,0.143
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,84,spotify:track:47BBI51FKFwOMlIiX6m8ya,Backstreet Boys,78,"['boy band', 'dance pop']",Millennium,I Want It That Way,0.689,0.694,99.039,-5.83,0.482,0.027,0.0,0.148,0.257
63SevszngYpZOwf63o61K4,Nevermind,79,spotify:track:63SevszngYpZOwf63o61K4,Dennis Lloyd,73,['israeli pop'],Nevermind,Nevermind,0.6,0.688,99.977,-8.339,0.0793,0.201,1.29e-05,0.409,0.159
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),92,spotify:track:37BZB0z9T8Xu7U3e65qxFy,The Weeknd,97,"['canadian contemporary r&b', 'canadian pop', 'pop']",Save Your Tears (Remix),Save Your Tears (with Ariana Grande) (Remix),0.65,0.825,118.091,-4.645,0.593,0.0325,2.44e-05,0.0936,0.0215
5QO79kh1waicV47BqGRL3g,Save Your Tears,92,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,97,"['canadian contemporary r&b', 'canadian pop', 'pop']",After Hours,Save Your Tears,0.68,0.826,118.051,-5.487,0.644,0.0309,1.24e-05,0.543,0.0212
6Im9k8u9iIzKMrmV7BWtlF,34+35,87,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,93,"['dance pop', 'pop']",Positions,34+35,0.83,0.585,109.978,-6.476,0.485,0.094,0.0,0.248,0.237
503OTo2dSqe7qk76rgsbep,Still D.R.E.,91,spotify:track:503OTo2dSqe7qk76rgsbep,Dr. Dre,85,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2001,Still D.R.E.,0.816,0.775,93.431,-3.323,0.527,0.234,0.00031,0.0543,0.16
5VGlqQANWDKJFl0MBG3sg2,Use Somebody,80,spotify:track:5VGlqQANWDKJFl0MBG3sg2,Kings of Leon,78,"['modern rock', 'rock']",Only By The Night,Use Somebody,0.276,0.715,137.028,-5.356,0.173,0.0432,0.000417,0.201,0.00552
6cr6UDpkjEaMQ80OjWqEBQ,Sultans of Swing,71,spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,Dire Straits,78,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",Dire Straits,Sultans of Swing,0.73,0.868,148.217,-7.325,0.923,0.0288,0.0661,0.318,0.0632
3VqHuw0wFlIHcIPWkhIbdQ,Enter Sandman (Remastered),78,spotify:track:3VqHuw0wFlIHcIPWkhIbdQ,Metallica,84,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",Metallica (Remastered),Enter Sandman (Remastered),0.566,0.834,123.296,-8.412,0.621,0.0298,0.008,0.0625,0.00277
2CtemffYhT0DJWcT1XW047,Nothing Else Matters (Remastered),74,spotify:track:2CtemffYhT0DJWcT1XW047,Metallica,84,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",Metallica (Remastered),Nothing Else Matters (Remastered),0.547,0.394,142.37,-9.793,0.17,0.0262,6.4e-06,0.0795,0.0522
6y6jbcPG4Yn3Du4moXaenr,idfc,81,spotify:track:6y6jbcPG4Yn3Du4moXaenr,blackbear,86,"['electropop', 'pop', 'pop rap']",deadroses,idfc,0.63,0.5,144.871,-8.755,0.315,0.0611,4.04e-05,0.114,0.611
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,91,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,95,"['detroit hip hop', 'hip hop', 'rap']",The Marshall Mathers LP,The Real Slim Shady,0.949,0.661,104.504,-4.244,0.76,0.0572,0.0,0.0454,0.0302
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),89,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,Eminem,95,"['detroit hip hop', 'hip hop', 'rap']",Music To Be Murdered By,Godzilla (feat. Juice WRLD),0.808,0.745,165.995,-5.26,0.829,0.342,0.0,0.292,0.145
7Ie9W94M7OjPoZVV216Xus,Not Afraid,84,spotify:track:7Ie9W94M7OjPoZVV216Xus,Eminem,95,"['detroit hip hop', 'hip hop', 'rap']",Recovery,Not Afraid,0.855,0.954,114.635,-1.19,0.668,0.264,0.0,0.205,0.529
5vlEg2fT4cFWAqU5QptIpQ,Replay,77,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,Iyaz,69,"['dance pop', 'pop rap', 'post-teen pop']",Replay,Replay,0.706,0.751,91.031,-6.323,0.195,0.0708,0.0,0.168,0.173
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,96,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,96,"['pop', 'uk pop']",=,Bad Habits,0.807,0.893,126.011,-3.745,0.537,0.0347,2.79e-05,0.366,0.0451
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,87,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,83,"['pop', 'r&b']",TAKE TIME,Heartbreak Anniversary,0.449,0.465,89.087,-8.964,0.543,0.0791,1.02e-06,0.303,0.524
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),85,spotify:track:0CAfXk7DXMnon4gLudAp7J,Flo Rida,82,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Mail on Sunday,Low (feat. T-Pain),0.918,0.609,128.008,-5.64,0.304,0.0791,0.0,0.139,0.0928
0fYVliAYKHuPmECRs1pbRf,Renegades,80,spotify:track:0fYVliAYKHuPmECRs1pbRf,X Ambassadors,76,"['modern alternative rock', 'modern rock', 'pop', 'pop rap', 'pop rock', 'rock', 'stomp pop']",VHS,Renegades,0.526,0.862,90.052,-6.003,0.528,0.0905,0.0597,0.229,0.0144
7lGKEWMXVWWTt3X71Bv44I,Unsteady,78,spotify:track:7lGKEWMXVWWTt3X71Bv44I,X Ambassadors,76,"['modern alternative rock', 'modern rock', 'pop', 'pop rap', 'pop rock', 'rock', 'stomp pop']",VHS,Unsteady,0.389,0.665,117.055,-6.169,0.199,0.0644,0.000732,0.116,0.178
5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),91,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,Lil Nas X,89,"['lgbtq+ hip hop', 'pop']",MONTERO,INDUSTRY BABY (feat. Jack Harlow),0.741,0.691,150.087,-7.395,0.892,0.0672,0.0,0.0476,0.0221
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,85,spotify:track:0GjEhVFGZW8afUYGChu3Rr,ABBA,82,"['europop', 'swedish pop']",Arrival,Dancing Queen,0.543,0.87,100.804,-6.514,0.754,0.0428,0.000939,0.792,0.358
4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,88,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,Måneskin,82,"['indie rock italiano', 'italian pop']",Teatro d'ira - Vol. I,I WANNA BE YOUR SLAVE,0.75,0.608,132.507,-4.008,0.958,0.0387,0.0,0.178,0.00165
2grjqo0Frpf2okIBiifQKs,September,85,spotify:track:2grjqo0Frpf2okIBiifQKs,"Earth, Wind & Fire",77,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']","The Best Of Earth, Wind & Fire Vol. 1",September,0.697,0.832,125.926,-7.264,0.979,0.0298,0.00131,0.269,0.168
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),83,spotify:track:0O45fw2L5vsWpdsOdXwNAR,Justin Timberlake,83,"['dance pop', 'pop']",FutureSex/LoveSounds,SexyBack (feat. Timbaland),0.967,0.583,117.0,-5.562,0.964,0.0789,0.0,0.0519,0.0584
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,81,spotify:track:254bXAqt3zP6P50BdQvEsq,Fleetwood Mac,83,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Tango In the Night (Deluxe Edition),Everywhere - 2017 Remaster,0.73,0.487,114.965,-10.991,0.731,0.0303,0.01,0.0852,0.258
5MxNLUsfh7uzROypsoO5qe,Dream On,83,spotify:track:5MxNLUsfh7uzROypsoO5qe,Aerosmith,79,"['album rock', 'classic rock', 'hard rock', 'rock']",Aerosmith,Dream On,0.307,0.433,160.9,-10.057,0.224,0.029,9.08e-05,0.332,0.388
4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,80,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,Vanessa Carlton,66,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",Be Not Nobody,A Thousand Miles,0.56,0.825,94.931,-3.862,0.268,0.0379,0.0,0.161,0.323
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,83,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,Nickelback,79,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",Silver Side Up,How You Remind Me,0.446,0.764,172.094,-5.042,0.543,0.033,0.0,0.099,0.00135
4OBZT9EnhYIV17t4pGw7ig,Best Part (feat. Daniel Caesar),80,spotify:track:4OBZT9EnhYIV17t4pGw7ig,H.E.R.,81,"['alternative r&b', 'dance pop', 'pop', 'r&b']",H.E.R.,Best Part (feat. Daniel Caesar),0.473,0.371,75.208,-10.219,0.413,0.0405,0.0,0.109,0.795
1J14CdDAvBTE1AJYUOwl6C,Arcade,79,spotify:track:1J14CdDAvBTE1AJYUOwl6C,Duncan Laurence,73,['dutch pop'],Small Town Boy (Track By Track),Arcade,0.453,0.35,72.017,-11.639,0.279,0.0425,0.00122,0.144,0.827
5CZ40GBx1sQ9agT82CLQCT,traitor,94,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,91,['pop'],SOUR,traitor,0.38,0.339,100.607,-7.885,0.0849,0.0338,0.0,0.12,0.691
